,?섎즺?쒖꽕 ???以묎탳?듬쭔議깅룄,臾명솕?쒖꽕 ??寃쎌젣??二쇳깮媛寃??덉젙?붿???1?몃떦 ?뱀? 硫댁쟻,?꾩껜?뱀?,?곸뾽?쒖꽕 ??二쇨굅?섍꼍留뚯”??target,,,,,,
67,242,6.5,6,101.64081,0.106382979,13.87022654,153692,201658,6.1,0
68,513,6.67,7,105.83407,3.188097768,13.86853948,163557,203281,6.37,0
69,524,6.38,7,107.00684,1.317233809,13.95,163557,203281,6.8,0
70,539,6.14,7,106.45491,0,13.82,160627,206616,6.37,0
71,550,6.88,8,111.24833,6.117908788,13.94,160627,201658,6.78,0
72,566,6.47,8,115.37223,1.991614256,14.09,160627,523690,6.25,0
73,557,6.525,8,122.35065,3.083247688,12.56,155003,523690,6.23,0
74,556,6.93,10,127.37398,4.885343968,12.75,154703,523690,6.34,0
75,559,6.64,10,130.11941,1.235741445,12.68,154703,523690,6.05,0
76,569,7.13,10,128.14107,3.568075117,12.75,150588,473561,6.55,0
77,283,6.46,5,114.48082,1.452282158,11.50105018,43809,513589,6.1,0
78,290,6.45,5,125.99654,2.210526316,11.58405836,32937,513589,6.17,0
79,305,6.64,5,135.23398,3.192584964,11.59120055,32937,513589,6.45,0
80,306,6,5,135.74562,1.70212766,11.7,32937,513589,5.7,0
81,315,6.42,5,132.66223,0.432900433,11.83,34851,513589,6.25,0
83,336,6.59,5,146.43145,1.565762004,11.98,34681,513589,6.73,0
84,330,6.66,5,151.59199,2.877697842,12.31,32341,130000,6.25,0
85,339,6.88,5,158.80763,3.396603397,12.38,32341,130000,5.97,0
86,356,7.05,7,162.15064,1.449275362,12.44,32341,130000,6.65,0
87,354,6.77,7,158.22501,2.476190476,12.5,32341,130000,5.9,0
88,672,6.06,12,46.57381,4.369918699,36.36995403,306004,130000,6.23,0
89,674,6.29,12,49.20259,1.062699256,36.81011707,306004,102906,6.21,0
90,667,5.98,14,48.80128,6.337271751,37.22562539,306004,102906,6.19,0
91,678,6.83,15,49.49097,1.605504587,37.6,309197,102906,6.16,0
92,684,6.54,13,50.74574,2.680652681,38.11,309194,102906,6.09,0
95,717,6.41,15,58.14727,3.192584964,37.93,316464,102906,6.77,0
97,725,6.66,16,61.8877,0.576923077,39.46,318643,568760,6.74,0
98,734,6.69,16,59.77652,4.684512428,40.2,380007,568760,6.65,0
99,334,5.83,9,23.92316,3.717826501,23.45319279,29280,568760,6.49,0
100,335,5.66,9,24.66628,0,23.6280141,29280,568760,6.77,0
101,336,6.58,9,25.29896,6.138613861,23.84344274,29280,589023,5.57,0
103,345,6.22,10,26.54151,1.198257081,24.42,29280,589023,6.03,0
104,352,6.21,10,26.89643,4.090419806,24.59,29280,590480,6.19,0
106,367,6.515,9,30.71379,2.140672783,31.5,29280,595751,6.08,0
107,364,6.7,10,31.06159,4.091816367,31.94,29280,589023,6.43,0
108,369,7.11,10,31.58453,0.67114094,32.52,29280,300000,5.78,0
109,367,6.81,10,32.31378,3.142857143,31.94,29280,300000,6.17,0
110,609,6.01,6,53.93625,0.96670247,0.32716625,70564,300000,6.26,0
111,615,6.3,6,55.63255,1.489361702,0.32832995,70581,300000,6.12,0
112,596,5.86,6,58.82447,3.459119497,0.330343723,70581,300000,6.18,0
113,586,6.53,5,59.83289,2.388707926,0.33,70581,244894,6.15,0
114,589,6.45,5,60.31151,1.001112347,1.06,72802,244894,6.41,0
115,593,6.45,5,60.8807,6.057268722,1.07,72802,239431,6.13,0
116,599,6.59,5,66.09557,1.453790239,1.08,72802,239431,6.32,0
117,605,6.625,5,66.12208,2.558853634,1.09,72802,239431,5.83,0
118,603,6.01,6,67.1984,5.988023952,1.1,72802,239431,5.7,0
119,607,6.51,6,69.44905,1.129943503,1.11,72802,239431,6.37,0
120,586,6.68,6,67.67289,3.538175047,1.12,53843,857232,6.08,0
121,515,6.54,12,53.64085,0.322927879,1.738227852,24191,857232,6.85,0
122,528,6.22,12,54.09297,0.971922246,1.743861607,24191,875352,6.35,0
123,534,6.78,12,55.2534,4.812834225,1.726302187,24191,875352,5.96,0
124,536,6.49,12,54.464,0.561797753,1.7,24191,870279,6.25,0
125,550,6.56,12,52.13306,2.011173184,1.72,37589,745441,6.48,0
126,556,6.5,12,51.40537,3.395399781,5.62,37589,745441,5.96,0
127,559,6.31,12,55.40291,2.224576271,5.62,37589,745441,5.5,0
128,560,6.55,12,57.95657,4.041450777,5.68,37751,745441,6,0
130,576,6.74,12,60.6933,1.665124884,5.69,37370,745441,5.54,0
131,588,6.61,12,61.25708,2.365787079,5.76,37370,745441,6.24,0
137,690,6.08,9,167.48565,2.832244009,28.84,319655,267548,5.93,0
138,702,6.28,9,176.31257,2.330508475,25.16,319655,267548,6.26,0
139,717,6.61,9,173.61845,3.933747412,25.49,319655,267548,6.27,0
141,730,6.97,10,185.67745,1.722574796,25.56,320959,267548,6.19,0
142,742,6.71,10,187.70337,3.475935829,25.71,160777,268974,6.33,0
143,403,6.06,7,53.85554,0.20768432,5.840728906,474260,267548,6.26,0
144,400,5.64,7,58.52142,1.761658031,6.020466759,478642,395858,6.1,0
145,397,6.4,8,65.73504,4.378818737,6.015480161,484351,395858,6.19,0
146,412,6.14,8,66.22661,1.703940362,6.03,479864,395858,6.32,0
147,413,6.16,7,66.98001,0.866738895,6.11,475841,395857,6.23,0
148,424,6.07,7,69.7263,2.68528464,6.07,475841,395858,6.03,0
149,431,6.52,7,72.94336,2.092050209,6.03,475841,753951,6.06,0
150,432,6.64,8,75.89397,2.766393443,6.28,475841,753951,6.11,0
151,430,6.1,9,77.12929,5.882352941,6.33,475841,757236,6.43,0
152,435,6.71,9,80.01568,1.224105461,6.34,475841,757236,5.98,0
153,441,6.88,10,78.57484,2.511627907,6.29,442285,757236,6.09,0
165,352,6.06,6,69.47644,1.041666667,14.54220574,284325,274391,6.13,0
166,365,6.13,6,74.49941,0.315789474,14.453023,283650,274391,6.36,0
167,365,5.64,8,80.15545,4.931794334,14.50642515,283650,274391,6.24,0
168,371,6.22,9,84.39886,1.766004415,14.52,283653,1340154,6.11,0
169,381,6.22,9,88.06975,1.123595506,14.68,35588,1340154,6.25,0
170,394,6.24,9,94.1161,5.666666667,14.63,35588,1340154,6.2,0
171,394,6.44,9,97.80132,1.682439537,14.52,35588,1340154,6.5,0
172,432,6.505,9,98.1934,4.756980352,14.21,35588,1340154,6.33,0
174,444,6.91,12,111.01959,1.189387008,14.4,35588,1317259,6.33,0
175,456,6.72,12,112.72209,2.983725136,14.76,35588,1320064,5.97,0
176,552,6.22,8,44.44679,1.637666325,13.42580972,73865,1322182,6.07,0
177,556,6.35,8,45.8826,0.104058273,13.52988534,73865,1322182,5.86,0
178,553,6.29,8,48.42679,1.871101871,13.62293793,73865,1322182,6.02,0
179,554,6.95,8,50.04774,1.800847458,13.77,73865,1320064,6.11,0
180,541,6.64,8,49.12827,0.755124056,14.07,73865,208841,5.97,0
181,529,6.92,8,50.80333,3.104925054,14.29,73865,208841,6.04,0
182,527,6.32,8,53.82719,1.765316719,14.58,73865,208841,5.9,0
183,525,6.61,8,55.25404,2.448979592,14.49,73865,208841,6.18,0
184,530,6.08,9,56.55401,7.071713147,14.76,73865,208841,6.34,0
185,528,6.17,9,57.42356,1.11627907,14.53,73865,397688,6.27,0
186,540,7.01,9,57.7219,3.127874885,14.72,22879,397688,6.25,0
187,954,6.15,10,160.1874,0.523012552,15.05804643,274667,397688,6.09,0
188,974,6.32,10,167.8154,1.472134595,15.12580895,366402,397688,5.96,0
189,982,6.68,11,176.26767,6.735751295,15.33016349,381453,397688,5.94,0
190,982,6.43,10,186.44749,0.777777778,15.44,380381,407382,6.2,0
191,1006,6.35,10,200.80627,1.231802912,15.52,386343,397688,6.19,0
192,1018,6.83,10,217.21787,4.424778761,15.99,331532,838383,5.97,0
198,583,6.11,12,54.0329,0.607902736,8.818868362,227567,332833,6.23,0
199,587,6.25,12,55.47257,0.713557594,8.815183623,227567,332833,6.25,0
200,594,6.34,12,56.99891,5.338809035,8.772465221,237492,332833,5.83,0
201,591,6.24,12,55.69847,2.928416486,8.83,237492,332833,5.94,0
202,610,6.77,11,56.79319,1.005586592,8.95,236356,334356,6.53,0
203,609,6.86,11,58.57062,4.424778761,8.22,242674,332833,6.02,0
204,613,6.24,11,59.68686,2.542372881,8.33,242674,1057762,6.13,0
205,621,6.715,11,61.89215,4.648760331,8.58,238469,1057762,6,0
206,627,6.38,12,64.43097,5.923000987,8.71,238469,1057762,5.98,0
207,626,6.33,12,66.20684,1.304753029,8.82,238469,1026865,6.04,0
208,638,6.69,12,64.85414,2.851885925,8.9,238469,1067788,6.19,0
209,676,6.53,11,232.0766,1.5625,16.63745075,64188,1176981,6.32,0
210,698,6.52,11,245.84098,0.105820106,17.03052765,63389,1176981,6.05,0
211,681,6.55,12,245.58534,4.343220339,17.29311613,63389,1178942,6.28,0
212,678,6.17,11,254.71449,2.104097453,17.51,63389,1180453,6.02,0
213,699,6.76,11,255.40984,1.470588235,17.7,65399,1182622,6.43,0
214,707,6.66,11,270.65451,4.682274247,23.01,60377,1182622,6.03,0
215,724,6.38,11,276.21324,2.342917998,23.5,60380,1178942,6.34,0
216,729,6.55,10,287.59947,4.890738814,23.63,60380,560000,6.39,0
218,756,6.41,10,325.29971,1.933701657,23.69,42905,560000,6.15,0
220,292,6.15,6,87.29564,2.53164557,36.5589517,80070,560000,6.18,0
221,288,6.27,6,89.61925,1.398601399,36.31453422,82242,733026,6.52,0
222,287,6.06,6,89.2118,2.431610942,36.90000493,81454,733026,6.53,0
223,280,5.8,6,89.32976,3.011422638,37.44,81454,733026,6.63,0
224,289,6.42,6,89.62555,0.535331906,38.04,81454,733026,6.37,0
225,300,6.46,6,92.69553,1.937567277,38.46,84721,733026,6.43,0
226,298,6.2,6,96.32663,2.111932418,38.98,84721,733026,6.39,0
227,298,6.74,6,107.38075,3.826266805,37.22,84721,733026,6.16,0
240,662,6.65,10,45.53978,0.760456274,28.96,106724,1483904,6.11,0
241,677,6.75,10,46.81499,2.452830189,28.97,106724,1483904,6.63,0
242,474,5.77,6,231.30777,0.541711809,65.63454842,104677,1490319,6.08,0
243,473,5.96,6,241.04991,2.262931034,66.49053937,104981,1490319,6.34,0
